Animal_ID,Sex,WD,Group,Norm_mGlu1,Norm_mTOR,Norm_p-Akt,Norm_Homer1,Norm_Akt,Norm_Homer2,Norm_p-mTOR,Norm_AKTratio,Norm_mTORratio
96,M,3,Sham,1.134267244,0.689602548,1.145078337,0.85265885,1.029914532,1.08342656,0.80081915,1.113168553,1.15776094
108,M,3,Sham,1.092280253,1.334647193,0.895658889,1.583710338,1.000330932,1.323759699,1.473209686,0.896449561,1.10047806
109,M,3,Sham,0.773452503,0.975750259,0.959262774,0.563630812,0.969754536,0.592813741,0.725971163,0.990381885,0.741761
102,M,3,Sham,1.040580212,1.118043373,0.849654919,0.658759179,1.282731904,0.651148535,0.849109951,0.663891987,0.759112073
105,M,3,Sham,1.209221663,1.006086089,1.646077021,1.280147287,1.0322566,1.408520685,1.446837547,1.598281346,1.437425175
114,M,3,Sham,0.750198125,0.875870538,0.504268059,1.061093534,0.685011496,0.94033078,0.704052502,0.737826667,0.803462752
127,M,3,Sham,1.077604936,0.985749716,0.748973488,1.362521573,1.134854063,1.502422545,0.603967016,0.626754511,0.616050449
110,M,3,Sham,0.922395064,1.014250284,1.251026512,0.637478427,0.865145937,0.497577455,1.396032984,1.373245489,1.383949551
113,M,3,Sham,0.665168539,0.98719926,0.609612665,0.578758017,0.70554823,0.563790935,1.021383699,0.891604326,1.034175084
111,M,3,Sham,1.334831461,1.01280074,1.390387335,1.421241983,1.29445177,1.436209065,0.978616301,1.108395674,0.965824916
LH4,M,3,Cocaine,0.485812449,0.943269785,0.795333071,1.00400795,0.866160045,0.879219571,0.891721578,0.919343504,0.942489788
117,M,3,Cocaine,0.764478284,1.154278037,0.793870133,0.51396322,0.755949279,0.46153028,0.789088588,1.05143813,0.681551426
122,M,3,Cocaine,0.873285225,1.013938275,0.563345715,1.035556779,1.044409618,0.652670558,0.513690881,0.540046368,0.505095663
140,M,3,Cocaine,1.149286081,1.20612431,0.413614868,1.012209483,0.961540316,0.872893547,0.339258459,0.431141065,0.281150742
143,M,3,Cocaine,1.180292915,0.85368458,0.962465948,0.697769332,1.050120885,0.687721953,0.662645178,0.918621963,0.775861542
141,M,3,Cocaine,1.068937206,0.912527708,0.4220043,0.912506539,1.088651417,0.690932483,0.45669408,0.388524832,0.500241758
148,M,3,Cocaine,1.050085455,1.135241078,0.675311755,4.476586256,1.712955934,2.371334696,0.608610059,0.37439424,0.539039693
149,M,3,Cocaine,0.940876568,1.116746165,1.671840227,0.938575085,1.018682039,1.097976462,0.771518592,1.558573049,0.694642969
150,M,3,Cocaine,1.642198157,1.350131555,1.865245548,2.824389318,1.817921365,1.735380727,1.931985114,0.974388072,1.438789983
151,M,3,Cocaine,0.216459846,0.668544433,0.942831509,0.192269505,0.557227239,0.142241738,0.25684796,1.746009662,0.384021741
153,M,3,Cocaine,0.826014172,1.032750679,0.415501919,0.243118699,0.708006586,0.237724603,0.494807962,0.605592697,0.478906972
107,M,30,Sham,0.799911871,1.335902298,0.761405339,0.836116535,1.021921692,0.387228295,1.185791138,0.74597662,0.884946068
106,M,30,Sham,0.531205157,1.143052812,0.484969433,1.159429483,0.599433515,0.377730243,0.794230007,0.81002843,0.692728882
126,M,30,Sham,0.841698312,1.017514175,0.533923397,1.520043525,0.674051972,0.559457459,0.373220548,0.793071761,0.365686038
95,M,30,Sham,2.180263301,1.529205991,1.305150397,1.453960389,1.048793059,1.240967964,1.311799376,1.247272946,0.857436663
100,M,30,Sham,1.515492188,0.898160216,1.27444486,1.848076758,0.836581507,1.129960812,0.706366494,1.526875185,0.786098371
104,M,30,Sham,1.194222682,0.73266262,0.981126495,1.30061775,1.054115175,0.773312442,0.645997326,0.932884088,0.881307174
103,M,30,Sham,0.84024104,1.513477279,1.831161855,4.486392182,1.475134355,2.909329329,1.105305701,1.178870759,0.734304555
101,M,30,Sham,1.632132822,2.577421738,3.336817399,4.82639539,2.079089755,3.363834755,2.421103647,1.524158889,0.94449054
116,M,30,Sham,2.139855122,1.947489779,4.02239029,4.866705744,2.171677152,3.384773048,1.823946753,1.758976291,0.941687241
118,M,30,Sham,2.262934156,1.635559853,2.342918335,4.633384374,1.990422692,2.212887644,1.440736201,1.117848316,0.885702243
97,M,30,Sham,0.745163808,1.028269993,0.335818492,0.680192974,0.65774793,0.488955976,0.720028075,0.52685367,0.699926179
112,M,30,Sham,0.924793645,1.513772774,0.80635542,0.875564186,0.84726852,0.861983212,1.890272673,0.982087835,1.248169986
98,M,30,Sham,0.94853723,1.034239723,0.606568217,0.791668997,0.789629107,0.885694347,0.75121199,0.792686376,0.726024483
99,M,30,Sham,0.950600942,1.233124714,0.621577468,0.694136228,0.930481073,0.505864389,0.630781958,0.689338623,0.511307579
121,M,30,Cocaine,1.013863876,1.152566056,0.639988988,0.809758423,1.052382292,0.327782442,0.869848868,0.608871837,0.752421641
LH1,M,30,Cocaine,0.617245429,0.89190318,0.356687196,0.371427852,0.673180856,0.208323952,0.559177512,0.530496691,0.625050757
115,M,30,Cocaine,1.51835774,1.590993144,0.517638152,1.754333696,0.68408167,0.704737352,0.662222197,0.757609203,0.414971935
LH2,M,30,Cocaine,1.658288935,1.757883368,1.000793291,0.895342015,1.154306189,0.782318152,1.602703756,0.868988658,0.911305136
123,M,30,Cocaine,1.210521063,0.970409277,0.395985047,0.894130754,0.863143574,0.686374779,0.635207328,0.459818554,0.654276286
137,M,30,Cocaine,1.054193245,0.958719546,0.884847727,0.719870623,1.197670107,0.391936191,0.762180204,0.740494908,0.794633195
FC1,M,30,Cocaine,1.476352403,1.500612237,4.116185938,4.457517582,2.033799527,2.664613346,2.251666104,1.922019914,1.508708106
135,M,30,Cocaine,2.373062683,2.168547549,2.538375534,2.468255585,2.559627636,1.530859739,2.344384814,0.94178143,1.08700031
144,M,30,Cocaine,0.603965162,1.455221592,0.602354854,0.288707786,0.338961607,0.22076507,0.659917679,1.833778162,0.453284222
139,M,30,Cocaine,0.308494382,1.533621221,0.128000794,0.344126388,0.501470737,0.27585927,0.704657323,0.263397689,0.459271852
